Running pytorch 2.10.0+cu130
using device: cuda:0
tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
step:0/4768 | val loss 10.987924 | best_candidate:current
step:304/4768 | loss 5.072474 | train_time:1527.77s | step_avg:5009.10ms
step:305/4768 | loss 4.980881 | train_time:1533.77s | step_avg:5012.31ms
step:306/4768 | loss 4.983967 | train_time:1538.60s | step_avg:5011.74ms
step:307/4768 | loss 5.018297 | train_time:1543.48s | step_avg:5011.29ms
step:308/4768 | loss 4.929099 | train_time:1548.26s | step_avg:5010.56ms
step:309/4768 | loss 5.061323 | train_time:1553.57s | step_avg:5011.52ms
step:310/4768 | loss 5.029702 | train_time:1558.47s | step_avg:5011.17ms
step:311/4768 | loss 4.999182 | train_time:1563.38s | step_avg:5010.83ms
step:312/4768 | loss 4.962635 | train_time:1569.31s | step_avg:5013.77ms
step:313/4768 | loss 5.005360 | train_time:1574.10s | step_avg:5013.05ms
step:314/4768 | loss 4.966349 | train_time:1578.88s | step_avg:5012.30ms
step:315/4768 | loss 4.906404 | train_time:1583.85s | step_avg:5012.20ms
step:316/4768 | loss 4.930612 | train_time:1588.67s | step_avg:5011.57ms
step:317/4768 | loss 4.892889 | train_time:1593.48s | step_avg:5010.94ms
step:318/4768 | loss 4.891286 | train_time:1598.36s | step_avg:5010.53ms
step:319/4768 | loss 5.008790 | train_time:1603.17s | step_avg:5009.92ms
step:320/4768 | loss 4.940218 | train_time:1607.97s | step_avg:5009.25ms
step:321/4768 | loss 5.022810 | train_time:1612.77s | step_avg:5008.59ms
step:322/4768 | loss 5.001128 | train_time:1617.57s | step_avg:5007.95ms
step:323/4768 | loss 5.060840 | train_time:1622.51s | step_avg:5007.74ms
step:324/4768 | loss 4.981531 | train_time:1627.57s | step_avg:5007.91ms
step:325/4768 | loss 5.004092 | train_time:1632.67s | step_avg:5008.19ms
step:326/4768 | loss 5.001942 | train_time:1637.47s | step_avg:5007.55ms
step:327/4768 | loss 5.010811 | train_time:1642.42s | step_avg:5007.38ms
step:328/4768 | loss 4.940338 | train_time:1647.17s | step_avg:5006.59ms
step:329/4768 | loss 4.986567 | train_time:1652.13s | step_avg:5006.46ms
step:330/4768 | loss 4.903011 | train_time:1657.16s | step_avg:5006.54ms
step:331/4768 | loss 4.945704 | train_time:1662.17s | step_avg:5006.52ms
step:332/4768 | loss 4.898803 | train_time:1667.18s | step_avg:5006.53ms
step:333/4768 | loss 4.836279 | train_time:1672.09s | step_avg:5006.26ms
step:334/4768 | loss 4.920867 | train_time:1677.07s | step_avg:5006.17ms
step:335/4768 | loss 4.979106 | train_time:1682.17s | step_avg:5006.45ms
step:336/4768 | loss 5.100401 | train_time:1687.07s | step_avg:5006.13ms
step:337/4768 | loss 5.056765 | train_time:1691.98s | step_avg:5005.86ms
step:338/4768 | loss 4.904289 | train_time:1696.77s | step_avg:5005.21ms
step:339/4768 | loss 4.870240 | train_time:1701.56s | step_avg:5004.59ms
step:340/4768 | loss 4.852839 | train_time:1706.76s | step_avg:5005.17ms
step:341/4768 | loss 4.847152 | train_time:1711.67s | step_avg:5004.88ms
step:342/4768 | loss 4.900596 | train_time:1716.47s | step_avg:5004.27ms
